level,lang,suggestion
high,french,"Très élevé ! Faites une pause, respirez profondément et organisez vos tâches."
high,french,"Stress élevé ! Prenez quelques minutes pour méditer ou marcher."
high,english,"High stress! Take a short break, breathe deeply and organize your tasks."
high,english,"Feeling stressed! Try a brief meditation or walk."
high,arabic,"ضغط عالي! خذ استراحة قصيرة وتنفس بعمق ونظم مهامك."
high,arabic,"تشعر بالتوتر؟ حاول أن تأخذ استراحة قصيرة وتمارس التنفس العميق."
medium,french,"Modéré. Prenez un moment pour vous reposer et vous détendre."
medium,english,"Moderate stress. Take a moment to rest and relax."
medium,arabic,"ضغط متوسط. خذ لحظة للراحة والاسترخاء."
low,french,"Faible. Continuez à maintenir votre calme et votre équilibre."
low,english,"Low stress. Keep up your calm and balance."
low,arabic,"ضغط منخفض. حافظ على هدوئك وتوازنك."
high,arabic,"ضغط مرتفع. خذ استراحة قصيرة وتنفس بعمق."
high,darija_lat,"Stress tale3 bezaf. khod pause sghira w tnefass mzyan."
high,english,"High stress indicators detected based on linguistic and emotional feature analysis. Immediate cognitive load reduction is recommended."
high,english,"The model identifies elevated stress probability. Short-term disengagement and breathing regulation are advised."
high,english,"Textual patterns suggest acute stress. Temporary task interruption may improve emotional regulation."
high,english,"Stress classification output exceeds critical threshold. Rest and reduced stimulation are recommended."
high,french,"Des indicateurs linguistiques montrent un stress élevé. Une réduction immédiate de la charge mentale est conseillée."
high,french,"Le modèle prédit un niveau de stress critique. Une pause et une régulation respiratoire sont recommandées."
high,french,"L’analyse du texte révèle une tension émotionnelle importante. Il est conseillé de ralentir le rythme."
high,french,"Un seuil élevé de stress a été atteint selon la classification automatique."
high,arabic,"أظهر التحليل اللغوي مستوى توتر مرتفع. يُنصح بتقليل العبء الذهني فورًا."
high,arabic,"تشير نتائج النموذج إلى إجهاد نفسي حاد. أخذ استراحة قصيرة ضروري."
high,arabic,"تم تجاوز عتبة التوتر المحددة خوارزميًا. يُفضل تقليل المحفزات."
high,darija_lat,"Ela hasab lmo3alaja loghawiya, kayn ijhad nafsi qwi"
medium,english,"Moderate stress probability detected. Improved task organization may prevent escalation."
medium,english,"Stress level remains manageable according to model output. Preventive breaks are advised."
medium,english,"Linguistic features indicate moderate emotional strain."
medium,french,"Le niveau de stress est modéré selon l’analyse. Une meilleure gestion des tâches est recommandée."
medium,french,"Les résultats indiquent un stress contrôlable. Des pauses préventives peuvent aider."
medium,french,"Une tension émotionnelle moyenne a été identifiée."
medium,arabic,"تشير النتائج إلى توتر متوسط يمكن التحكم فيه."
medium,arabic,"مستوى الضغط النفسي متوسط حسب النموذج."
medium,darija_lat,"Kayn stress mtweset ela hsab tahlil, khasek ghir tnedem lkhadma dyalk ."
low,english,"Low stress classification detected. Current behavioral patterns appear stable."
low,english,"The model predicts minimal stress impact. No corrective action is required."
low,french,"Un faible niveau de stress a été détecté. السلوك الحالي متوازن."
low,french,"Les indicateurs montrent une stabilité émotionnelle."
low,arabic,"تم تصنيف مستوى التوتر على أنه منخفض."
low,arabic,"الحالة النفسية مستقرة حسب التحليل."
low,darija_lat,"Stress d3if ela hasab hdertek , koulshi mezian daba !"
low,darija_lat,"Makayn hta shi daght mohim ola ktir daba fhad lmarhala ."
high,darija_lat,"Bayn elik deght.hawl trtah shwiya o ndem khdemtek."
high,darija_lat,"Rak 3yan bezaf. wqef shwiya o khoud lik nafas 3amiq ."
high,darija_ar,"الستريس طالع بزاف. خد واحد الوقفة ونفس مزيان."
high,darija_ar,"باين عليك مضغوط. حاول ترتاح شوية وتنظم خدمتك."
high,darija_ar,"راك تعبان بزاف. وقف شوية وخد نفس عميق."
high,mixed,"Stress élevé بزاف! prends une pause w tnfass mzyan."
high,mixed,"Rak stressed بزاف, try to relax and breathe slowly."
high,mixed,"ستريس طالع! Take a break و ريّح راسك."
medium,english,"Moderate stress. Take a moment to relax and slow down."
medium,french,"Stress modéré. Prenez un moment pour vous détendre."
medium,arabic,"ضغط متوسط. خذ لحظة للاسترخاء."
medium,darija_lat,"Stress mtweset. Hawl theden shwiya o dir wahd lpause."
medium,darija_lat,"Rak mqeleq shwiya. ndem wqtek o rye7 rask ."
medium,darija_lat,"Mashi khatir. khod wahd lbreak o kml khdemtek."
medium,darija_ar,"الستريس متوسط. حاول تهدا شوية."
medium,darija_ar,"راك مقلق شوية. نظم وقتك و ريّح راسك."
medium,darija_ar,"الوضع متحكم فيه. خد استراحة قصيرة."
medium,mixed,"Stress moyen, prends une pause et relax."
medium,mixed,"Rak un peu stressed, try to organize your time."
medium,mixed,"ضغط متوسط. Stay calm و كمل خدمتك."
low,english,"Low stress level. Keep maintaining your calm and balance."
low,french,"Stress faible. Continuez à maintenir votre calme."
low,arabic,"ضغط منخفض. حافظ على هدوئك."
low,darija_lat,"Stress habet. Kemel haka o hafed ela tawazon dyalk ."
low,darija_lat,"Rak ghadi mezian . kemel bnefs tariqa dlkhdma ."
low,darija_lat,"koulshi mezian. Hafed ela lhodoue dyalk."
low,darija_ar,"الستريس هابط. حافظ على هدوئك."
low,darija_ar,"راك مرتاح. كمل بنفس الطريقة."
low,darija_ar,"كلشي مزيان. خليك متوازن."
low,mixed,"Low stress,stay calm , o kemel haka."
low,mixed,"راك مرتاح. Keep this balance."
low,mixed,"ضغط ضعيف. Enjoy و كمل بهدوء."
high,english,"You are feeling overwhelmed. Try grounding yourself by focusing on your breathing."
high,english,"High emotional pressure detected. Step back and give yourself permission to rest."
high,english,"Stress is intense. Reducing screen time may help you calm down."
high,english,"You may be overloaded. Break your tasks into smaller steps."
high,english,"Strong stress signals detected. A few minutes of silence can help."
high,french,"Vous êtes submergé par le stress. Prenez un instant pour ralentir."
high,french,"Une forte pression émotionnelle est détectée. Accordez-vous du repos."
high,french,"Stress intense. Réduire le temps d’écran peut aider."
high,french,"Vous semblez dépassé. Divisez vos tâches en petites étapes."
high,french,"Un niveau de stress élevé est détecté. Le calme peut vous aider."
high,arabic,"يبدو أنك تحت ضغط كبير. حاول التركيز على تنفسك."
high,arabic,"توتر شديد ملحوظ. امنح نفسك بعض الراحة."
high,arabic,"تشعر بإرهاق كبير. تقليل الشاشات قد يساعد."
high,arabic,"الضغط مرتفع. قسم مهامك إلى خطوات صغيرة."
high,arabic,"إشارات توتر قوية. لحظات الهدوء قد تكون مفيدة."
high,darija_lat,"Dght qwi. 3ti lrassk l7eq tertah chwia."
high,darija_lat,"Rah eandek bezef maydar,nqess shwiya men tele."
high,darija_lat,"Lkhedma ktira eandek.Hawel tqesemha shwiya bshwiya o sebeq li mohim hwa lwel..."
high,darija_lat,"Tawatour kbir. Skat chwiya i9der y3awnek."
high,darija_ar,"راك عامر بالستريس. ركز على تنفسك."
high,darija_ar,"ضغط قوي. عطي راسك حق الراحة."
high,darija_ar,"راك مشغول بزاف. نقص شوية من الهاتف."
high,darija_ar,"الخدمة كترة. قسمها خطوة بخطوة."
high,darija_ar,"توتر كبير. الهدوء شوية يعاون."
high,mixed,"High pressure detected. خد pause و ركز على التنفس."
high,mixed,"Rak overwhelmed, prends du repos شوية."
high,mixed,"Stress قوي. Reduce screen time و ريّح راسك."
high,mixed,"Too much stress. قسم tasks ديالك."
high,mixed,"ضغط كبير. Silence شوية يساعد."
medium,english,"You may feel some pressure. Take a short pause to reset."
medium,english,"Stress is present but manageable. Stay organized."
medium,english,"You seem slightly tense. Gentle breathing can help."
medium,english,"Moderate stress detected. Balance effort and rest."
medium,english,"Take care of yourself and slow your pace."
medium,french,"Une certaine pression est présente. Faites une pause."
medium,french,"Stress modéré. Essayez de rester organisé."
medium,french,"Vous êtes un peu tendu. Respirez calmement."
medium,french,"Stress moyen détecté. Équilibrez effort et repos."
medium,french,"Prenez soin de vous et ralentissez."
medium,arabic,"تشعر ببعض الضغط. خذ استراحة قصيرة."
medium,arabic,"الضغط موجود لكنه قابل للتحكم."
medium,arabic,"توتر خفيف. التنفس الهادئ قد يساعد."
medium,arabic,"ضغط متوسط. وازن بين الجهد والراحة."
medium,arabic,"اعتنِ بنفسك وخفف الوتيرة."
medium,darija_lat,"Eandek stress mtweset.Nedem khdemtk shwiya."
medium,darija_lat,"Lwed3 dyalk mthekem fih . Wazen mabin lkhedma o ra7a ."
medium,darija_lat,"Kayban li thbess shwiya ead tkmel bash tkhli tawazoun ."
medium,darija_ar,"كاين شوية ضغط. خد وقفة قصيرة."
medium,darija_ar,"الستريس متوسط. نظم خدمتك."
medium,darija_ar,"راك مشدود شوية. نفس بهدوء."
medium,darija_ar,"الوضع متحكم فيه. وازن بين الخدمة والراحة."
medium,darija_ar,"هدا شوية و كمل."
medium,mixed,"Moderate stress, دير pause و رجع بهدوء."
medium,mixed,"Rak un peu tendu, breathe slowly."
medium,mixed,"ضغط متوسط. Stay organized و كمل."
medium,mixed,"Some stress is normal. خليك calm."
medium,mixed,"Balance work و rest."
low,english,"You are doing well. Keep this steady rhythm."
low,english,"Stress appears low. Continue your healthy habits."
low,english,"You seem calm and balanced."
low,english,"Low tension detected. Enjoy the moment."
low,english,"Everything looks stable. Keep going."
low,french,"Vous allez bien. Gardez ce rythme."
low,french,"Le stress est faible. Continuez vos bonnes habitudes."
low,french,"Vous semblez calme et équilibré."
low,french,"Peu de tension détectée. Profitez du moment."
low,french,"Tout est stable. Continuez ainsi."
low,arabic,"تبدو بحالة جيدة. استمر على هذا النسق."
low,arabic,"التوتر منخفض. حافظ على عاداتك الجيدة."
low,arabic,"تبدو هادئًا ومتوازنًا."
low,arabic,"توتر ضعيف. استمتع باللحظة."
low,arabic,"كل شيء مستقر. واصل."
low,darija_ar,"راك مزيان. كمل بنفس الوتيرة."
low,darija_ar,"الستريس هابط. حافظ على عاداتك."
low,darija_ar,"راك هادئ ومتوازن."
low,darija_ar,"توتر ضعيف. استمتع بالوقت."
low,darija_ar,"كلشي مستقر. كمل."
low,mixed,"Low stress, keep this rhythm."
low,mixed,"راك calm. Continue هكذا."
low,mixed,"Everything is fine. Enjoy the balance."
low,mixed,"ضغط ضعيف. Stay positive."
low,mixed,"You’re doing well. كمل."
high,english,"You seem overwhelmed. Pause for a moment, breathe slowly, and focus on one task at a time."
high,french,"Vous semblez dépassé(e). Respirez calmement et concentrez-vous sur une seule tâche."
high,arabic,"يبدو أنك تحت ضغط كبير. توقف قليلاً وخذ أنفاساً عميقة."
high,darija_lat,"Bayna fik measeb bezef. Khod nafass mezian , rteb afkark, o rekez mezian ."
